Day fraction since midnight on 2/19/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()	PC 1.3 Bin 1 ppb ()	PC 1.3 Bin 2 ppb ()	PC 1.3 Bin 3 ppb ()	PC 1.3 Bin 4 ppb ()	PC 1.3 Bin 5 ppb ()	PC 1.3 Bin 6 ppb ()	PC 1.3 Total ppb ()
0.62973911	4.0746994	6.35782671	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14479078	1.58579099	0.88192771	10127.24798	0	0	0	0	0	0	100	101	0	364	157	124	31	4	1	100	100	681	0.02315268	0.02708085	93.98647308	0.0950727	0.81333333	0	0.2	2.91000009	4.71000004	17.60000038	26.43000031	21.06999969	0	92.65000153
0.62979701	4.08824682	6.35726595	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14479078	1.58579099	0.88192771	10131.47036	0	0	0	0	0	0	100	101	0	364	157	124	31	4	1	100	100	681	0.02351342	0.0274161	93.91395569	0.09494311	0.81333333	0	0.2	2.91000009	4.71000004	17.60000038	26.43000031	21.06999969	0	92.65000153
0.62985486	4.11551237	6.35716534	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.1508278	1.58162224	0.88192771	10136.07949	0	0	0	0	0	0	100	101	0	360	161	121	28	3	0	100	100	673	0.02351342	0.0274161	93.91395569	0.09415153	0.81333333	0	0.2	2.88000011	4.73000002	16.82999992	23.40999985	17.09000015	0	84.02999878
0.62991273	4.10810947	6.35725403	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.1508278	1.58162224	0.88192771	10144.33337	0	0	0	0	0	0	100	101	0	360	161	121	28	3	0	100	100	673	0.02337306	0.02733236	93.93206787	0.09328559	0.81333333	0	0.2	2.88000011	4.73000002	16.82999992	23.40999985	17.09000015	0	84.02999878
0.62997062	4.10414457	6.35788345	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.15066838	1.57867754	0.88192771	10148.76283	0	0	0	0	0	0	100	101	0	360	161	121	28	3	0	100	100	673	0.02337306	0.02733236	93.93206787	0.09329928	0.81333333	0	0.2	2.88000011	4.73000002	16.82999992	23.40999985	17.09000015	0	84.02999878
0.63002847	4.09308147	6.35756969	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.15066838	1.57867754	0.88192771	10152.98821	0	0	0	0	0	0	100	101	0	360	161	121	28	3	0	100	100	673	0.02389897	0.02790408	93.8085022	0.09363733	0.81333333	0	0.2	2.88000011	4.73000002	16.82999992	23.40999985	17.09000015	0	84.02999878
0.63008635	4.10346127	6.35718489	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.15066838	1.587219	0.88192771	10157.59435	0	0	0	0	0	0	100	101	0	360	161	121	28	3	0	100	100	673	0.02389897	0.02790408	93.8085022	0.0949302	0.81333333	0	0.2	2.88000011	4.73000002	16.82999992	23.40999985	17.09000015	0	84.02999878
0.63014421	4.09369564	6.35708904	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.15066838	1.587219	0.88192771	10161.62608	0	0	0	0	0	0	100	101	0	366	155	121	32	4	0	100	100	678	0.02389897	0.02790408	93.8085022	0.0949662	0.81333333	0	0.2	2.88999987	4.5	17.06999969	29.25	21.12000084	0	84.98000336
0.63020208	4.11862993	6.35768795	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14924842	1.58880579	0.88192771	10166.04052	0	0	0	0	0	0	100	101	0	366	155	121	32	4	0	100	100	678	0.02395697	0.02784508	93.82125092	0.09415857	0.81333333	0	0.2	2.88999987	4.5	17.06999969	29.25	21.12000084	0	84.98000336
0.63025996	4.11588669	6.35783052	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14924842	1.58880579	0.88192771	10174.48947	0	0	0	0	0	0	100	101	0	366	155	121	32	4	0	100	100	678	0.02375042	0.02771353	93.84967041	0.09413858	0.81333333	0	0.2	2.88999987	4.5	17.06999969	29.25	21.12000084	0	84.98000336
0.63031784	4.07616234	6.35766125	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14705709	1.58483326	0.88192771	10179.2865	0	0	0	0	0	0	100	101	0	366	155	121	32	4	0	100	100	678	0.02375042	0.02771353	93.84967041	0.09447344	0.81333333	0	0.2	2.88999987	4.5	17.06999969	29.25	21.12000084	0	84.98000336
0.6303757	4.07056427	6.35805798	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14705709	1.58483326	0.88192771	10183.33398	0	0	0	0	0	0	100	101	0	366	155	121	32	4	0	100	100	678	0.02375042	0.02771353	93.84967041	0.09440191	0.81333333	0	0.2	2.88999987	4.5	17.06999969	29.25	21.12000084	0	84.98000336
0.63043356	4.11591911	6.35752678	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14368378	1.58787155	0.88192771	10187.1746	0	0	0	0	0	0	100	101	0	349	158	125	26	3	0	100	100	661	0.0250867	0.02859555	93.65927887	0.09503303	0.81333333	0	0.2	2.78999996	4.67000008	17.38999939	22.30999947	15.78999996	0	79.29000092
0.63049143	4.05673313	6.35728073	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.14368378	1.58787155	0.88192771	10191.58886	0	0	0	0	0	0	100	101	0	349	158	125	26	3	0	100	100	661	0.0250867	0.02859555	93.65927887	0.09612945	0.81333333	0	0.2	2.78999996	4.67000008	17.38999939	22.30999947	15.78999996	0	79.29000092
0.6305493	4.05811644	6.35727262	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.1422271	1.59275782	0.88192771	10196.38688	0	0	0	0	0	0	100	101	0	349	158	125	26	3	0	100	100	661	0.0250867	0.02859555	93.65927887	0.09742591	0.81333333	0	0.2	2.78999996	4.67000008	17.38999939	22.30999947	15.78999996	0	79.29000092
0.63060717	4.08512259	6.35824013	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.1422271	1.59275782	0.88192771	10200.22749	0	0	0	0	0	0	100	101	0	349	158	125	26	3	0	100	100	661	0.02355686	0.02724775	93.95036316	0.09755106	0.81333333	0	0.2	2.78999996	4.67000008	17.38999939	22.30999947	15.78999996	0	79.29000092
0.63066504	4.11857319	6.35722828	1.173	66.52173913	65.39325843	0	0	0	3.88	1.22	0	0	0.13970539	1.59195328	0.88192771	10209.05701	0	0	0	0	0	0	100	101	0	349	158	125	26	3	0	100	100	661	0.02292768	0.02696716	94.01107788	0.09709006	0.81333333	0	0.2	2.78999996	4.67000008	17.38999939	22.30999947	15.78999996	0	79.29000092
