Day fraction since midnight on 12/19/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	PID Control ()	Scale ()	PC1 & 2 pump #2 ()
0.00248717	44.16799545	6.9958086	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.22320853	2.30173087	0.85714286	4438.404933	0	0	0	0	0	0	98	101	0	329	183	148	34	3	2	96	100	700	0.02982352	0.03304225	92.70530701	100.6935806	99.21636974	839.9	0.83181818
0.00254506	44.19348526	6.99547195	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20801145	2.32309031	0.85714286	4442.836337	0	0	0	0	0	0	98	101	0	329	183	148	34	3	2	96	100	700	0.02982352	0.03304225	92.70530701	100.5566406	99.21642303	839.8	0.83181818
0.00260291	44.17953873	6.99553108	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20801145	2.32309031	0.85714286	4451.087467	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	98.00000999	101.00001	0.00000999	329.00001	183.00001	148.00001	34.00000999	3.00000999	2.00000999	96.00000999	100.00001	700.00001	0.02982999	0.03304999	92.70530999	100.5708771	99.21623389	839.8	0.83181818
0.0026608	44.18318939	6.99571991	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.19671474	2.32309031	0.85714286	4455.503054	0	0	0	0	0	0	98	101	0	329	183	148	34	3	2	96	100	700	0.03006165	0.03322772	92.66573334	100.7059555	99.21579225	839.8	0.83181818
0.00271866	44.18888474	6.9955368	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.19671474	2.32309031	0.85714286	4460.110334	0	0	0	0	0	0	98	101	0	334	180	142	32	3	2	96	100	694	0.03000979	0.03347325	92.61335754	100.72461	99.21553518	839.7	0.83181818
0.00277654	44.1808548	6.99572563	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20263126	2.28624558	0.85714286	4464.139956	0	0	0	0	0	0	98	101	0	334	180	142	32	3	2	96	100	694	0.03000979	0.03347325	92.61335754	100.6459122	99.21547072	839.7	0.83181818
0.0028344	44.22041702	6.99565744	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20263126	2.28624558	0.85714286	4468.36364	0	0	0	0	0	0	98	101	0	334	180	142	32	3	2	96	100	694	0.03000979	0.03347325	92.61335754	100.6674805	99.21522773	839.6	0.83181818
0.00289229	44.20785141	6.99565935	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20263126	2.28624558	0.85714286	4472.971093	0	0	0	0	0	0	98	101	0	334	180	142	32	3	2	96	100	694	0.03000979	0.03347325	92.61335754	100.7545776	99.21485931	839.6	0.83181818
0.00295015	44.16267395	6.9956665	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20263126	2.28624558	0.85714286	4481.623987	0	0	0	0	0	0	98	101	0	334	180	142	32	3	2	96	100	694	0.02945555	0.03301466	92.7111969	100.6576691	99.21477245	839.6	0.83181818
0.00300803	44.20024872	6.99559212	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20687085	2.3717916	0.85714286	4485.653759	0	0	0	0	0	0	98	101	0	331	180	144	32	3	2	96	100	693	0.02945555	0.03301466	92.7111969	100.6194916	99.21467362	839.5	0.83181818
0.00306589	44.20732117	6.99550056	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20452608	2.3717916	0.85714286	4490.069326	0	0	0	0	0	0	98	101	0	331	180	144	32	3	2	96	100	693	0.02945555	0.03301466	92.7111969	100.4999695	99.21469855	839.5	0.83181818
0.00312378	44.19283676	6.99560928	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20452608	2.34941769	0.85714286	4494.099136	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	98.00000999	101.00001	0.00000999	331.00001	180.00001	144.00001	32.00000999	3.00000999	2.00000999	96.00000999	100.00001	693.00001	0.02945999	0.03301999	92.71119999	100.5415344	99.21446286	839.4	0.83181818
0.00318164	44.21056366	6.99566507	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.20452608	2.34941769	0.85714286	4498.51453	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	98.00000999	101.00001	0.00000999	331.00001	180.00001	144.00001	32.00000999	3.00000999	2.00000999	96.00000999	100.00001	693.00001	0.02945999	0.03301999	92.71119999	100.4838715	99.21426315	839.4	0.83181818
0.00323952	44.24623108	6.99573469	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.17974342	2.22448611	0.85714286	4503.505719	0	0	0	0	0	0	98	101	0	331	180	144	32	3	2	96	100	693	0.02895833	0.03258925	92.80204773	100.382721	99.21443397	839.3	0.83181818
0.00329738	44.25756073	6.99543238	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.18272477	2.24967599	0.85714286	4506.975671	0	0	0	0	0	0	98	101	0	331	180	144	32	3	2	96	100	693	0.02895833	0.03258925	92.80204773	100.4171143	99.21425046	839.3	0.83181818
0.00335525	44.18757248	6.99554443	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.18272477	2.24967599	0.85714286	4515.613573	0	0	0	0	0	0	98	101	0	327	184	147	35	3	2	96	100	699	0.02904622	0.03275638	92.76634216	100.5335236	99.21389959	839.2	0.83181818
0.00341313	44.18360901	6.9956665	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.16742727	2.21982408	0.85714286	4520.026967	0	0	0	0	0	0	98	101	0	327	184	147	35	3	2	96	100	699	0.02904929	0.03295954	92.72296143	100.7029343	99.21340713	839.2	0.83181818
0.00347099	44.17288208	6.99557972	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.16742727	2.21982408	0.85714286	4524.250477	0	0	0	0	0	0	98	101	0	327	184	147	35	3	2	96	100	699	0.02904929	0.03295954	92.72296143	100.590271	99.21340276	839.1	0.83181818
0.00352888	44.18190002	6.99568701	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.16961205	2.32024598	0.85714286	4528.663871	0	0	0	0	0	0	98	101	0	327	184	147	35	3	2	96	100	699	0.02904929	0.03295954	92.72296143	100.5024109	99.21338395	839.1	0.83181818
0.00358673	44.17445374	6.99570799	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.16961205	2.32024598	0.85714286	4533.079268	0	0	0	0	0	0	98	101	0	322	173	141	30	2	2	96	100	672	0.02932618	0.03301008	92.71217346	100.586731	99.21306233	839	0.83181818
0.00364462	44.21569061	6.99565411	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.21629724	2.41175365	0.85714286	4541.540815	0	0	0	0	0	0	98	101	0	322	173	141	30	2	2	96	100	672	0.02932618	0.03301008	92.71217346	100.5970764	99.21286154	839	0.83181818
0.00370248	44.18873596	6.99550915	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.21629724	2.41175365	0.85714286	4546.148096	0	0	0	0	0	0	98	101	0	322	173	141	30	2	2	96	100	672	0.02910079	0.03257385	92.805336	100.5071182	99.21283964	838.9	0.83181818
0.00376037	44.17124939	6.99561834	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.2233063	2.40693498	0.85714286	4550.753378	0	0	0	0	0	0	98	101	0	322	173	141	30	2	2	96	100	672	0.02910079	0.03257385	92.805336	100.4693909	99.21275562	838.9	0.83181818
0.00381823	44.21187592	6.99566746	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.2233063	2.40693498	0.85714286	4554.401416	0	0	0	0	0	0	98	101	0	322	173	141	30	2	2	96	100	672	0.02910079	0.03257385	92.805336	100.4975205	99.21254985	838.8	0.83181818
0.00387611	44.2346611	6.99563217	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.21360824	2.40954185	0.85714286	4558.81704	0	0	0	0	0	0	98	101	0	328	178	136	31	3	2	96	100	678	0.02733915	0.03271363	92.77547455	100.5494003	99.21228926	838.8	0.83181818
0.00393397	44.16104889	6.99588871	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.21360824	2.40954185	0.85714286	4563.038547	0	0	0	0	0	0	98	101	0	328	178	136	31	3	2	96	100	678	0.02733915	0.03271363	92.77547455	100.5314865	99.21214949	838.7	0.83181818
0.00399186	44.15934753	6.99588013	1.137	71.30097087	58.37931034	37.1641791	36.14906832	91.39896373	3.386	6.12	1.514	0.22415817	2.29342651	0.85714286	4571.309667	0	0	0	0	0	0	98	101	0	328	178	136	31	3	2	96	100	678	0.02733915	0.03271363	92.77547455	100.5443192	99.2119566	838.7	0.83181818
