Day fraction since midnight on 12/21/2020	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Scale ()	PC1 & 2 pump #2 ()
0.00198873	35.82200241	6.99600506	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25411552	2.47371364	0.85714286	10690.76603	0	0	0	0	0	0	44	101	0	927	371	229	24	1	3	98	100	1556	0.02839252	0.03216648	92.89241791	101.8271637	518.9	0.83181818
0.0020466	35.81145859	6.99607038	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25411552	2.47371364	0.85714286	10694.98964	0	0	0	0	0	0	44	101	0	927	370	227	23	1	3	98	100	1553	0.02839252	0.03216648	92.89241791	101.7484131	518.8	0.83181818
0.00210449	35.79204178	6.9961257	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.23354562	2.32076406	0.85714286	10699.02031	0	0	0	0	0	0	44	101	0	927	370	227	23	1	3	98	100	1553	0.02839252	0.03216648	92.89241791	101.6406021	518.8	0.83181818
0.00216235	35.86373901	6.99591398	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.23354562	2.32076406	0.85714286	10703.43561	0	0	0	0	0	0	44	101	0	927	370	227	23	1	3	98	100	1553	0.02811109	0.03120938	93.09733582	101.7731018	518.8	0.83181818
0.00222023	35.85498047	6.99614048	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.24104147	2.55100226	0.85714286	10707.8489	0	0	0	0	0	0	44	101	0	927	370	227	23	1	3	98	100	1553	0.02811109	0.03120938	93.09733582	101.6530762	518.7	0.83181818
0.00227809	35.89036179	6.99622774	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.24104147	2.55100226	0.85714286	10712.07431	0	0	0	0	0	0	44	101	0	927	370	227	23	1	3	98	100	1553	0.02811109	0.03120938	93.09733582	101.4815369	518.7	0.83181818
0.00233597	35.89345932	6.99594593	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25319541	2.66869164	0.85714286	10716.12	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	0.00000999	44.00000999	101.00001	0.00000999	927.00001	370.00001	227.00001	23.00000999	1.00000999	3.00000999	98.00000999	100.00001	1553.00001	0.02811999	0.03120999	93.09733999	101.4152985	518.7	0.83181818
0.00239383	35.91302872	6.99632692	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25319541	2.66869164	0.85714286	10725.14063	0	0	0	0	0	0	44	101	0	919	383	227	25	1	3	98	100	1561	0.02817481	0.03119064	93.10135651	101.2698746	518.7	0.83181818
0.00245171	35.93876266	6.99615622	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25319541	2.68236923	0.85714286	10729.55393	0	0	0	0	0	0	44	101	0	919	383	227	25	1	3	98	100	1561	0.02844764	0.03162726	93.0078125	100.9908218	518.6	0.83181818
0.00250957	35.86581421	6.99615479	1.148	71.30097087	58.37931034	32.23880597	21.24223602	91.39896373	3.386	6.12	1.514	0.25319541	2.68236923	0.85714286	10733.39358	0	0	0	0	0	0	44	101	0	919	383	227	25	1	3	98	100	1561	0.02844764	0.03162726	93.0078125	101.0140381	518.6	0.83181818
