Day fraction since midnight on 2/1/2021	7 kPa (cm)	pH probe (pH)	Q sed difference ()	Raw water pump ()	settled bulk pump ()	Clay pump Run ()	PACl pump Run ()	Floc hopper pump  ()	Q settled bulk pump (mL/s)	Q Raw (mL/s)	Q removed (mL/s)	Q floc hopper add term ()	Q Floc Hopper ()	Turb settled w/ blanket ()	Turb settled w/out blanket  ()	PC1 & 2 pump ()	ChemTrac Buffer ()	PC 1.2 bin1 N ()	PC 1.2 bin2 N ()	PC 1.2 bin3 N ()	PC 1.2 bin4 N ()	PC 1.2 bin5 N ()	PC 1.2 bin6 N ()	PC 1.2 Cell  ()	PC 1.2 Laser ()	PC 1.2 Total N ()	PC 1.3 bin1 N ()	PC 1.3 bin2 N ()	PC 1.3 bin3 N ()	PC 1.3 bin4 N ()	PC 1.3 bin5 N ()	PC 1.3 bin6 N ()	PC 1.3 Cell ()	PC 1.3 Laser ()	PC 1.3 Total N ()	UV 1.1 Compensated UVA ()	UV 1.1 UVA ()	UV 1.1 UVT ()	Turb influent  ()	Large Scale ()	PC1 & 2 pump #2 ()	Count states ()	Small Scale ()
0.00203695	42.44348526	6.99682999	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24110210	3.27675104	0.84820394	8026.33259678	1417.00000000	602.00000000	600.00000000	459.00000000	219.00000000	53.00000000	98.00000000	100.00000000	3354.00000000	893.00000000	294.00000000	314.00000000	191.00000000	70.00000000	27.00000000	98.00000000	100.00000000	1794.00000000	0.01504137	0.03708456	91.84652710	100.92023468	0.00000000	0.81333333	1.00000000	312.70000000
0.00205279	42.46910095	6.99688530	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24110999	3.27675999	0.84820394	8036.69634676	1420.00000000	603.00000000	619.00000000	466.00000000	228.00000000	56.00000000	98.00000000	100.00000000	3396.00000000	897.00000000	285.00000000	316.00000000	192.00000000	67.00000000	24.00000000	98.00000000	100.00000000	1785.00000000	0.01197671	0.03506982	92.27355194	100.78067780	0.00000000	0.81333333	1.00000000	312.60000000
0.00215727	42.45786285	6.99683332	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.31498039	3.30292201	0.84820394	8047.06409311	1420.00000000	603.00000000	619.00000000	466.00000000	228.00000000	56.00000000	98.00000000	100.00000000	3396.00000000	897.00000000	285.00000000	316.00000000	192.00000000	67.00000000	24.00000000	98.00000000	100.00000000	1785.00000000	0.01197671	0.03506982	92.27355194	100.78067780	0.00000000	0.81333333	1.00000000	312.60000000
0.00227710	42.37633133	6.99676752	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.31498039	3.30292201	0.84820394	8047.06409311	1420.00000000	603.00000000	619.00000000	466.00000000	228.00000000	56.00000000	98.00000000	100.00000000	3396.00000000	897.00000000	285.00000000	316.00000000	192.00000000	67.00000000	24.00000000	98.00000000	100.00000000	1785.00000000	0.01197671	0.03506982	92.27355194	100.78067780	0.00000000	0.81333333	1.00000000	312.60000000
0.00228427	42.40063477	6.99677229	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.26738775	3.34441447	0.84820394	8057.43183947	1421.00000000	599.00000000	618.00000000	473.00000000	229.00000000	53.00000000	98.00000000	100.00000000	3397.00000000	897.00000000	285.00000000	316.00000000	192.00000000	67.00000000	24.00000000	98.00000000	100.00000000	1785.00000000	0.01238153	0.03643489	91.98400879	101.20245361	0.00000000	0.81333333	1.00000000	312.50000000
0.00239710	42.37984848	6.99676180	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.26738775	3.34441447	0.84820394	8057.43183947	1421.00000000	599.00000000	618.00000000	473.00000000	229.00000000	53.00000000	98.00000000	100.00000000	3397.00000000	897.00000000	285.00000000	316.00000000	192.00000000	67.00000000	24.00000000	98.00000000	100.00000000	1785.00000000	0.01238153	0.03643489	91.98400879	101.20245361	0.00000000	0.81333333	1.00000000	312.50000000
0.00240001	42.39054489	6.99672508	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.23442984	3.32733297	0.84820394	8067.81357861	1421.00000000	599.00000000	618.00000000	473.00000000	229.00000000	53.00000000	98.00000000	100.00000000	3397.00000000	889.00000000	291.00000000	301.00000000	183.00000000	62.00000000	26.00000000	98.00000000	100.00000000	1753.00000000	0.01411707	0.03672533	91.92251587	101.48619843	0.00000000	0.81333333	1.00000000	312.50000000
0.00251707	42.40480042	6.99678421	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.23442984	3.32733297	0.84820394	8067.81357861	1421.00000000	599.00000000	618.00000000	473.00000000	229.00000000	53.00000000	98.00000000	100.00000000	3397.00000000	889.00000000	291.00000000	301.00000000	183.00000000	62.00000000	26.00000000	98.00000000	100.00000000	1753.00000000	0.01411707	0.03672533	91.92251587	101.48619843	0.00000000	0.81333333	1.00000000	312.50000000
0.00257364	42.37414932	6.99678707	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.19923520	3.33486199	0.84820394	8078.17932415	1429.00000000	601.00000000	621.00000000	480.00000000	233.00000000	57.00000000	98.00000000	100.00000000	3425.00000000	889.00000000	291.00000000	301.00000000	183.00000000	62.00000000	26.00000000	98.00000000	100.00000000	1753.00000000	0.01345631	0.03603170	92.06943512	101.43601990	0.00000000	0.81333333	1.00000000	312.40000000
0.00263705	42.39035416	6.99693632	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.19923520	3.33486199	0.84820394	8078.17932415	1429.00000000	601.00000000	621.00000000	480.00000000	233.00000000	57.00000000	98.00000000	100.00000000	3425.00000000	889.00000000	291.00000000	301.00000000	183.00000000	62.00000000	26.00000000	98.00000000	100.00000000	1753.00000000	0.01345631	0.03603170	92.06943512	101.43601990	0.00000000	0.81333333	1.00000000	312.40000000
0.00268938	42.40650940	6.99669981	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24120092	3.42344189	0.84820394	8088.54706812	1431.00000000	606.00000000	607.00000000	465.00000000	232.00000000	60.00000000	98.00000000	100.00000000	3406.00000000	889.00000000	282.00000000	304.00000000	185.00000000	62.00000000	23.00000000	98.00000000	100.00000000	1748.00000000	0.01106592	0.03546863	92.18886566	101.68104553	0.00000000	0.81333333	1.00000000	312.40000000
0.00275702	42.39395905	6.99673796	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.24120092	3.42344189	0.84820394	8088.54706812	1431.00000000	606.00000000	607.00000000	465.00000000	232.00000000	60.00000000	98.00000000	100.00000000	3406.00000000	889.00000000	282.00000000	304.00000000	185.00000000	62.00000000	23.00000000	98.00000000	100.00000000	1748.00000000	0.01106592	0.03546863	92.18886566	101.68104553	0.00000000	0.81333333	1.00000000	312.40000000
0.00280512	42.37099457	6.99683142	1.17600000	76.18257261	61.07022472	19.70149254	19.11801242	17.56476684	3.62350000	6.12000000	1.27650000	0.04100000	0.05650000	1.18230462	3.52653480	0.84820394	8098.91081476	1416.00000000	607.00000000	613.00000000	457.00000000	225.00000000	56.00000000	98.00000000	100.00000000	3379.00000000	889.00000000	282.00000000	304.00000000	185.00000000	62.00000000	23.00000000	98.00000000	100.00000000	1748.00000000	0.01249265	0.03604436	92.06674957	101.68104553	0.00000000	0.81333333	1.00000000	312.30000000
