Day fraction since midnight on 2/21/2021,2-3 μm,3-5 μm,5-9 μm,9-17 μm,17-33 μm,33-65 μm,Turb settled w/ blanket ()
0.934608694,645.2525253,279.6565657,232.1818182,86.90909091,15.17171717,7.24,0.76754168
0.940396029,600.3061224,259.4897959,211.1326531,74.90816327,11.91836735,5.908163265,0.714673341
0.946183349,569,247.71,201.39,71.13,11.47,6.02,0.679052636
0.951970652,538.18,230.47,188.68,62.7,9.45,5.05,0.644270496
0.957757938,506.91,217.6,177.51,59.78,8.868686869,4.69,0.613589351
0.963545217,484.74,210.19,170.55,58.34,10.65,5,0.624449789
0.969332522,466.3939394,197.4040404,159.989899,50.29292929,6.060606061,3.333333333,0.520794703
0.975119827,431.88,190.11,155.17,47.47,5.6,3.36,0.513486951
0.980907113,414.7272727,180.5858586,146.6767677,43.14141414,5.02020202,2.97979798,0.48591277
0.986694387,392.6363636,170.9393939,139.2020202,40.25252525,4.313131313,2.65,0.457915474
0.992481646,374.2653061,163.6734694,132.8367347,37.85714286,3.785714286,2.595959596,0.451856123
0.998268892,356.63,155.37,123.64,33.72,3.35,2.52,0.441066496
1.004056128,338.43,145.06,114.48,30.74,2.93,2.09,0.403464767
1.009843382,317.25,138.72,110.39,28.14,2.42,1.87,0.391838433
1.015630633,300.92,133.78,104.44,26.45,2.42,1.82,0.4102495
1.021417876,296.37,127.87,99.18,25.11,2.27,1.82,0.364961844
1.027205105,283.21,125.94,96.75,23.43,2.02,1.65,0.354230944
1.032992324,271.31,120.83,94.6,21.81,1.73,1.49,0.329115211
1.038779532,263.6326531,117.6632653,91.59183673,20.89795918,1.93877551,1.747474747,0.343806187
1.044566732,252.02,111.52,86.48,19.92,1.63,1.28,0.319306109
1.050353921,237.91,107.5,82.78,18.12,1.7,1.59,0.321952987
1.056141101,227.82,102.63,79.13,17.07,1.24,1.21,0.291372677
1.061928274,221.5102041,100.6530612,76.82653061,15.51020408,1.510204082,1.295918367,0.300998907
1.06771544,217.979798,100.2626263,75.97979798,16.09090909,1.353535354,1.5,0.304236547
1.073502598,212.7653061,98.04081633,73.78571429,14.40816327,1.081632653,1.222222222,0.275714612
1.079289749,204.6326531,94.70408163,70.44897959,13.95918367,1.214285714,1.12244898,0.27409734
